taxon	sequenceID	name	subgenus	isolate	orientation	country	sample_date
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/GU586114	GU586114	-	-	MA_CGO	-	Spain	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/GU586115	GU586115	-	-	MA_GRO	-	Spain	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/GU586116	GU586116	-	-	MA_SPG	-	Spain	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/GU586117	GU586117	-	-	MA_ROL	-	Spain	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/GU586118	GU586118	-	-	MA_VMM	-	Spain	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/GU586119	GU586119	-	-	MA_CPE	-	Spain	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/GU586120	GU586120	-	-	MA_CAS	-	Spain	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770390	HM770390	-	-	BRLO03-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770391	HM770391	-	-	BRLO05-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770392	HM770392	-	-	BRLO07-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770393	HM770393	-	-	BRLO09-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770394	HM770394	-	-	BRLO10-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770395	HM770395	-	-	BRLO11-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770396	HM770396	-	-	BRLO12-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770397	HM770397	-	-	BRLO18-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770398	HM770398	-	-	BRLO19-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770399	HM770399	-	-	BRLO21-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770400	HM770400	-	-	BRLO22-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770401	HM770401	-	-	BRLO23-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770402	HM770402	-	-	BRLO24-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770403	HM770403	-	-	BRLO26-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770404	HM770404	-	-	BRLO27-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770405	HM770405	-	-	BRLO28-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770406	HM770406	-	-	BRLO29-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770407	HM770407	-	-	BRLO32-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770408	HM770408	-	-	BRLO35-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770409	HM770409	-	-	BRLO38-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770410	HM770410	-	-	BRLO39-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770411	HM770411	-	-	BRLO43-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770412	HM770412	-	-	BRLO45-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770413	HM770413	-	-	BRLO49-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770414	HM770414	-	-	BRLO02-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770415	HM770415	-	-	BRLO25-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770416	HM770416	-	-	BRSP91-08	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770417	HM770417	-	-	BRSP111-08	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770418	HM770418	-	-	BRSP160-08	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770419	HM770419	-	-	BRSP239-08	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770420	HM770420	-	-	BRSP319-08	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770421	HM770421	-	-	BRSP84-09	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770422	HM770422	-	-	BRSP130-09	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770423	HM770423	-	-	BRSP171-08	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770424	HM770424	-	-	BRSP172-08	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HM770425	HM770425	-	-	BRSP348-08	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/HZ454547	HZ454547	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/JC241916	JC241916	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/JQ435911	JQ435911	-	-	BRLO37-02	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/JX280964	JX280964	-	-	BRLO37-12	-	Brazil: Londrina	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/K02024	K02024	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351545	KT351545	-	-	BRSP222-12	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351546	KT351546	-	-	BRSP274-12	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351547	KT351547	-	-	BRSP286-12	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351548	KT351548	-	-	BRSP2894-14	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351549	KT351549	-	-	BRSP4186-15	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351550	KT351550	-	-	BRSP5693-14	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351551	KT351551	-	-	BRSP6207-15	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351552	KT351552	-	-	BRSP8788-15	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351553	KT351553	-	-	BRSP8791-15	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351554	KT351554	-	-	BRSP43410-14	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351555	KT351555	-	-	BRSP48946-14	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351556	KT351556	-	-	BRSP54436-14	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351557	KT351557	-	-	BRSP55630-14	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351558	KT351558	-	-	BRSP67338-13	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351559	KT351559	-	-	BRSP79459-13	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351560	KT351560	-	-	BRSP80793-14	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351561	KT351561	-	-	BRSP85816-14	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351562	KT351562	-	-	BRSP89826-13	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351563	KT351563	-	-	BRSP92116-14	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KT351564	KT351564	-	-	BRSP96617-14	-	Brazil: Sao Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KY928499	KY928499	-	-	BRSP130-12	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KY928500	KY928500	-	-	BRSP867-14	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KY928501	KY928501	-	-	BRSP14623-15	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KY928502	KY928502	-	-	BRSP15915-14	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KY928503	KY928503	-	-	BRSP31878-14	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KY928504	KY928504	-	-	BRSP38745-14	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KY928505	KY928505	-	-	BRSP52362-14	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KY928506	KY928506	-	-	BRSP56264-15	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KY928507	KY928507	-	-	BRSP56501-15	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KY928508	KY928508	-	-	BRSP65292-15	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KY928509	KY928509	-	-	BRSP71344-15	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/KY928510	KY928510	-	-	BRSP84665-14	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/L06855	L06855	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/L06859	L06859	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/L11456	L11456	-	-	G12	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/L20734	L20734	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/LC440555	LC440555	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/LC440556	LC440556	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/LC534557	LC534557	-	-	-	-	Japan	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/NC_001815	NC_001815	-	-	STLV-2PP1664	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/S67545	S67545	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/S69268	S69268	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/U90557	U90557	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/X89270	X89270	-	-	patient Gu	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/Y13051	Y13051	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/Y14365	Y14365	-	-	pygmy2	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/Y14570	Y14570	-	-	STLV-2PP1664	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/Z46889	Z46889	-	-	PH220	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/Z47788	Z47788	-	-	JPS HTLV-II	-	-	-
